# x_m;y_m
379.0000;49.0000
379.0000;51.0000
379.0000;203.0000
379.0000;205.0000
379.0000;207.0000
381.0000;49.0000
383.0000;49.0000
385.0000;205.0000
387.0000;51.0000
387.0000;205.0000
389.0000;53.0000
391.0000;201.0000
393.0000;53.0000
395.0000;53.0000
395.0000;199.0000
397.0000;57.0000
397.0000;201.0000
399.0000;57.0000
401.0000;197.0000
401.0000;199.0000
401.0000;201.0000
403.0000;55.0000
405.0000;55.0000
405.0000;197.0000
407.0000;195.0000
409.0000;53.0000
409.0000;191.0000
409.0000;195.0000
411.0000;51.0000
411.0000;55.0000
413.0000;51.0000
415.0000;49.0000
415.0000;179.0000
415.0000;181.0000
417.0000;47.0000
417.0000;51.0000
417.0000;171.0000
417.0000;173.0000
417.0000;179.0000
417.0000;181.0000
419.0000;177.0000
419.0000;179.0000
421.0000;45.0000
421.0000;165.0000
421.0000;169.0000
423.0000;45.0000
425.0000;45.0000
425.0000;47.0000
425.0000;163.0000
427.0000;45.0000
427.0000;165.0000
427.0000;167.0000
427.0000;171.0000
429.0000;43.0000
429.0000;171.0000
429.0000;175.0000
431.0000;43.0000
431.0000;173.0000
431.0000;179.0000
433.0000;175.0000
433.0000;177.0000
433.0000;179.0000
435.0000;45.0000
435.0000;47.0000
437.0000;47.0000
437.0000;49.0000
437.0000;181.0000
439.0000;47.0000
439.0000;49.0000
439.0000;187.0000
441.0000;187.0000
441.0000;189.0000
443.0000;191.0000
445.0000;51.0000
445.0000;53.0000
447.0000;53.0000
447.0000;189.0000
449.0000;53.0000
449.0000;55.0000
451.0000;119.0000
451.0000;125.0000
451.0000;187.0000
453.0000;117.0000
453.0000;125.0000
453.0000;127.0000
453.0000;129.0000
453.0000;189.0000
455.0000;55.0000
455.0000;57.0000
455.0000;59.0000
455.0000;61.0000
455.0000;119.0000
455.0000;125.0000
455.0000;183.0000
455.0000;185.0000
457.0000;57.0000
457.0000;59.0000
457.0000;61.0000
457.0000;67.0000
457.0000;69.0000
457.0000;73.0000
457.0000;115.0000
457.0000;131.0000
457.0000;183.0000
457.0000;187.0000
459.0000;65.0000
459.0000;69.0000
459.0000;109.0000
459.0000;135.0000
459.0000;181.0000
459.0000;185.0000
461.0000;73.0000
461.0000;109.0000
461.0000;113.0000
461.0000;181.0000
461.0000;185.0000
463.0000;107.0000
463.0000;135.0000
463.0000;137.0000
463.0000;141.0000
463.0000;145.0000
463.0000;149.0000
463.0000;155.0000
463.0000;185.0000
465.0000;135.0000
465.0000;141.0000
465.0000;157.0000
465.0000;181.0000
465.0000;185.0000
467.0000;79.0000
467.0000;87.0000
467.0000;93.0000
467.0000;103.0000
467.0000;157.0000
467.0000;187.0000
467.0000;189.0000
469.0000;81.0000
469.0000;85.0000
469.0000;89.0000
469.0000;91.0000
469.0000;95.0000
469.0000;97.0000
469.0000;159.0000
469.0000;191.0000
471.0000;163.0000
471.0000;189.0000
473.0000;97.0000
473.0000;101.0000
473.0000;189.0000
473.0000;193.0000
475.0000;191.0000
475.0000;193.0000
477.0000;193.0000
479.0000;157.0000
479.0000;161.0000
479.0000;195.0000
483.0000;163.0000
485.0000;165.0000
485.0000;179.0000
485.0000;197.0000
485.0000;199.0000
487.0000;161.0000
487.0000;167.0000
487.0000;173.0000
487.0000;179.0000
487.0000;181.0000
487.0000;197.0000
487.0000;201.0000
489.0000;171.0000
489.0000;177.0000
489.0000;183.0000
489.0000;187.0000
489.0000;189.0000
489.0000;199.0000
489.0000;205.0000
491.0000;169.0000
491.0000;189.0000
493.0000;169.0000
493.0000;207.0000
495.0000;191.0000
495.0000;195.0000
495.0000;205.0000
495.0000;209.0000
497.0000;197.0000
497.0000;217.0000
497.0000;219.0000
499.0000;195.0000
499.0000;209.0000
499.0000;213.0000
501.0000;219.0000
503.0000;199.0000
503.0000;203.0000
503.0000;215.0000
503.0000;219.0000
505.0000;203.0000
505.0000;207.0000
507.0000;205.0000
507.0000;209.0000
507.0000;213.0000
507.0000;215.0000
507.0000;219.0000
507.0000;221.0000
509.0000;207.0000
509.0000;219.0000
509.0000;223.0000
511.0000;221.0000
513.0000;213.0000
515.0000;217.0000
515.0000;223.0000
517.0000;223.0000
517.0000;225.0000
