# x_m,y_m,w_tr_right_m,w_tr_left_m
-46.4995,184.7778,0.7091,0.7091
-46.4995,184.8422,0.7091,0.7091
-46.4995,184.9067,0.7091,0.7091
-46.4995,184.9711,0.7091,0.7091
-46.4995,185.0356,0.7091,0.7091
-46.4995,185.1001,0.7091,0.7091
-46.4995,185.1645,0.7091,0.7091
-46.4350,185.2290,0.7735,0.7735
-46.4350,185.2934,0.7735,0.7735
-46.4350,185.3579,0.7735,0.7735
-46.4350,185.4224,0.7735,0.7735
-46.4350,185.4868,0.7735,0.7735
-46.4350,185.5513,0.7735,0.7735
-46.4350,185.6157,0.7735,0.7735
-46.4350,185.6802,0.7735,0.7735
-46.4350,185.7447,0.7735,0.7735
-46.4350,185.8091,0.7735,0.7735
-46.4350,185.8736,0.7735,0.7735
-46.4350,185.9380,0.7735,0.7735
-46.4350,186.0025,0.7735,0.7735
-46.4350,186.0670,0.7735,0.7735
-46.4350,186.1314,0.7735,0.7735
-46.4350,186.1959,0.7735,0.7735
-46.3706,186.2603,0.8380,0.8380
-46.3706,186.3248,0.8380,0.8380
-46.3061,186.3893,0.8380,0.8380
-46.3061,186.4537,0.8380,0.8380
-46.3061,186.5182,0.8380,0.8380
-46.3061,186.5826,0.8380,0.8380
-46.3061,186.6471,0.8380,0.8380
-46.3061,186.7116,0.8154,0.8154
-46.3061,186.7760,0.7973,0.7973
-46.3061,186.8405,0.7842,0.7842
-46.3061,186.9049,0.7762,0.7762
-46.3061,186.9694,0.7735,0.7735
-46.3061,187.0339,0.7735,0.7735
-46.3061,187.0983,0.7735,0.7735
-46.3061,187.1628,0.7735,0.7735
-46.3061,187.2272,0.7735,0.7735
-46.3061,187.2917,0.7735,0.7735
-46.3061,187.3562,0.7735,0.7735
-46.3061,187.4206,0.7735,0.7735
-46.3061,187.4851,0.7735,0.7735
-46.3061,187.5495,0.7735,0.7735
-46.2416,187.6140,0.8380,0.8380
-46.2416,187.6785,0.8380,0.8380
-46.2416,187.7429,0.8380,0.8380
-46.2416,187.8074,0.8380,0.8380
-46.1772,187.8718,0.8380,0.8380
-46.1772,187.9363,0.8380,0.8380
-46.1772,188.0008,0.8380,0.8380
-46.1772,188.0652,0.8380,0.8380
-46.1772,188.1297,0.8380,0.8380
-46.1772,188.1941,0.8380,0.8380
-46.1772,188.2586,0.8405,0.8405
-46.1772,188.3231,0.8380,0.8380
-46.1772,188.3875,0.8154,0.8154
-46.1772,188.4520,0.7973,0.7973
-46.1772,188.5164,0.7842,0.7842
-46.1772,188.5809,0.7762,0.7762
-46.1772,188.6454,0.7735,0.7735
-46.1772,188.7098,0.7735,0.7735
-46.1772,188.7743,0.7735,0.7735
-46.1772,188.8387,0.7735,0.7735
-46.1772,188.9032,0.7735,0.7735
-46.1772,188.9677,0.7735,0.7735
-46.1127,189.0321,0.8380,0.8380
-46.1127,189.0966,0.8380,0.8380
-46.1127,189.1610,0.8380,0.8380
-46.1127,189.2255,0.8380,0.8380
-46.0483,189.2900,0.8380,0.8380
-46.0483,189.3544,0.8380,0.8380
-46.0483,189.4189,0.8380,0.8380
-46.0483,189.4833,0.8380,0.8380
-46.0483,189.5478,0.8380,0.8380
-46.0483,189.6123,0.8380,0.8380
-46.0483,189.6767,0.8380,0.8380
-46.0483,189.7412,0.8380,0.8380
-46.0483,189.8056,0.8154,0.8154
-46.0483,189.8701,0.7973,0.7973
-46.0483,189.9346,0.7842,0.7842
-46.0483,189.9990,0.7762,0.7762
-46.0483,190.0635,0.7735,0.7735
-46.0483,190.1279,0.7735,0.7735
-46.0483,190.1924,0.7735,0.7735
-46.0483,190.2569,0.7735,0.7735
-46.0483,190.3213,0.7735,0.7735
-46.0483,190.3858,0.7735,0.7735
-46.0483,190.4502,0.7735,0.7735
-46.0483,190.5147,0.7735,0.7735
-46.0483,190.5792,0.7735,0.7735
-46.0483,190.6436,0.7735,0.7735
-45.9838,190.7081,0.8380,0.8380
-45.9193,190.7725,0.8380,0.8380
-45.9193,190.8370,0.8380,0.8380
-45.9193,190.9015,0.8380,0.8380
-45.9193,190.9659,0.8380,0.8380
-45.9193,191.0304,0.8380,0.8380
-45.9193,191.0948,0.8380,0.8380
-45.9193,191.1593,0.8380,0.8380
-45.9193,191.2238,0.8380,0.8380
-45.9193,191.2882,0.8380,0.8380
-45.9193,191.3527,0.8154,0.8154
-45.9193,191.4171,0.7973,0.7973
-45.9193,191.4816,0.7842,0.7842
-45.9193,191.5461,0.7762,0.7762
-45.9193,191.6105,0.7735,0.7735
-45.9193,191.6750,0.7735,0.7735
-45.9193,191.7394,0.7735,0.7735
-45.9193,191.8039,0.7735,0.7735
-45.9193,191.8684,0.7735,0.7735
-45.9193,191.9328,0.7735,0.7735
-45.9193,191.9973,0.7735,0.7735
-45.9193,192.0617,0.7735,0.7735
-45.9193,192.1262,0.7735,0.7735
-45.9193,192.1907,0.7735,0.7735
-45.8549,192.2551,0.8380,0.8380
-45.7904,192.3196,0.8380,0.8380
-45.7904,192.3840,0.8380,0.8380
-45.7904,192.4485,0.8380,0.8380
-45.7904,192.5130,0.8380,0.8380
-45.7904,192.5774,0.8380,0.8380
-45.7904,192.6419,0.8380,0.8380
-45.7904,192.7063,0.8380,0.8380
