# x_m,y_m,w_tr_right_m,w_tr_left_m
8.1702,26.1968,1.0252,1.0252
8.1702,26.2638,1.0142,1.0142
8.1702,26.3308,1.0075,1.0075
8.1702,26.3978,1.0053,1.0053
8.1702,26.4649,1.0053,1.0053
8.1702,26.5319,1.0053,1.0053
8.1031,26.5989,1.0723,1.0723
8.1031,26.6659,1.0723,1.0723
8.1031,26.7329,1.0723,1.0723
8.1031,26.8000,1.0723,1.0723
8.1702,26.8670,1.0075,1.0075
8.1702,26.9340,1.0142,1.0142
8.1702,27.0010,1.0252,1.0252
8.1702,27.0680,1.0404,1.0404
8.1702,27.1351,1.0597,1.0597
8.1702,27.2021,1.0723,1.0723
8.1702,27.2691,1.0723,1.0723
8.1702,27.3361,1.0744,1.0744
8.1702,27.4031,1.0744,1.0744
8.1702,27.4702,1.0723,1.0723
8.2372,27.5372,1.0404,1.0404
8.2372,27.6042,1.0597,1.0597
8.2372,27.6712,1.0744,1.0744
8.2372,27.7382,1.0807,1.0807
8.3042,27.8053,1.0252,1.0252
8.3042,27.8723,1.0404,1.0404
8.3042,27.9393,1.0597,1.0597
8.3042,28.0063,1.0807,1.0807
8.3042,28.0733,1.0744,1.0744
8.3042,28.1404,1.0597,1.0597
8.3712,28.2074,1.0597,1.0597
8.3712,28.2744,1.0807,1.0807
8.3712,28.3414,1.0807,1.0807
8.3712,28.4084,1.0597,1.0597
8.4382,28.4755,1.0597,1.0597
8.4382,28.5425,1.0807,1.0807
8.4382,28.6095,1.0597,1.0597
8.4382,28.6765,1.0404,1.0404
8.5053,28.7435,1.0597,1.0597
8.5053,28.8106,1.0807,1.0807
8.5053,28.8776,1.0597,1.0597
8.5053,28.9446,1.0404,1.0404
8.5723,29.0116,1.0827,1.0827
8.5723,29.0786,1.0597,1.0597
8.5723,29.1457,1.0404,1.0404
8.6393,29.2127,1.0807,1.0807
8.6393,29.2797,1.0597,1.0597
8.6393,29.3467,1.0404,1.0404
8.7063,29.4137,1.0597,1.0597
8.7063,29.4808,1.0807,1.0807
8.7063,29.5478,1.0597,1.0597
8.7733,29.6148,1.0597,1.0597
8.7733,29.6818,1.0827,1.0827
8.7733,29.7488,1.0597,1.0597
8.8404,29.8159,1.0597,1.0597
8.8404,29.8829,1.0827,1.0827
8.8404,29.9499,1.0597,1.0597
8.8404,30.0169,1.0404,1.0404
8.9074,30.0839,1.0807,1.0807
8.9074,30.1510,1.0597,1.0597
8.9074,30.2180,1.0404,1.0404
8.9744,30.2850,1.0597,1.0597
8.9744,30.3520,1.0597,1.0597
8.9744,30.4190,1.0404,1.0404
8.9744,30.4861,1.0252,1.0252
9.0414,30.5531,1.0807,1.0807
9.0414,30.6201,1.0597,1.0597
9.0414,30.6871,1.0404,1.0404
9.1084,30.7541,1.0807,1.0807
9.1084,30.8212,1.0597,1.0597
9.1084,30.8882,1.0404,1.0404
9.1084,30.9552,1.0252,1.0252
9.1755,31.0222,1.0807,1.0807
9.1755,31.0892,1.0597,1.0597
9.1755,31.1563,1.0404,1.0404
9.2425,31.2233,1.0807,1.0807
9.2425,31.2903,1.0597,1.0597
9.2425,31.3573,1.0404,1.0404
9.3095,31.4243,1.0597,1.0597
9.3095,31.4914,1.0807,1.0807
9.3095,31.5584,1.0597,1.0597
9.3095,31.6254,1.0404,1.0404
9.3765,31.6924,1.0827,1.0827
9.3765,31.7594,1.0597,1.0597
9.3765,31.8265,1.0404,1.0404
9.4435,31.8935,1.0807,1.0807
9.4435,31.9605,1.0597,1.0597
9.4435,32.0275,1.0404,1.0404
9.5106,32.0945,1.0597,1.0597
9.5106,32.1616,1.0807,1.0807
9.5106,32.2286,1.0597,1.0597
9.5776,32.2956,1.0597,1.0597
9.5776,32.3626,1.0827,1.0827
9.5776,32.4296,1.0597,1.0597
9.6446,32.4967,1.0597,1.0597
9.6446,32.5637,1.0827,1.0827
9.6446,32.6307,1.0597,1.0597
