# x_m,y_m,w_tr_right_m,w_tr_left_m
-40.6664,-0.9567,1.2630,1.2630
-40.7315,-1.0217,1.2152,1.2152
-40.7315,-1.0868,1.2342,1.2342
-40.7315,-1.1518,1.2563,1.2563
-40.7315,-1.2169,1.2630,1.2630
-40.7965,-1.2819,1.2342,1.2342
-40.7965,-1.3470,1.2513,1.2513
-40.7965,-1.4120,1.2630,1.2630
-40.8616,-1.4771,1.2152,1.2152
-40.8616,-1.5421,1.2342,1.2342
-40.8616,-1.6072,1.2563,1.2563
-40.9266,-1.6722,1.2152,1.2152
-40.9266,-1.7373,1.2342,1.2342
-40.9266,-1.8023,1.2563,1.2563
-40.9917,-1.8674,1.2222,1.2222
-40.9917,-1.9324,1.2513,1.2513
-40.9917,-1.9975,1.2780,1.2780
-41.0567,-2.0625,1.2342,1.2342
-41.0567,-2.1276,1.2563,1.2563
-41.0567,-2.1926,1.2563,1.2563
-41.1218,-2.2577,1.2513,1.2513
-41.1218,-2.3227,1.2780,1.2780
-41.1868,-2.3878,1.2342,1.2342
-41.1868,-2.4528,1.2563,1.2563
-41.2519,-2.5179,1.2222,1.2222
-41.2519,-2.5829,1.2513,1.2513
-41.3169,-2.6480,1.2222,1.2222
-41.3169,-2.7130,1.2513,1.2513
-41.3169,-2.7781,1.2513,1.2513
-41.3820,-2.8431,1.2513,1.2513
-41.3820,-2.9082,1.2513,1.2513
-41.4470,-2.9732,1.2513,1.2513
-41.4470,-3.0383,1.2513,1.2513
-41.5121,-3.1033,1.2513,1.2513
-41.5121,-3.1684,1.2513,1.2513
-41.5771,-3.2334,1.2630,1.2630
-41.6422,-3.2985,1.2496,1.2496
-41.6422,-3.3635,1.2630,1.2630
-41.7072,-3.4286,1.2513,1.2513
-41.7072,-3.4936,1.2513,1.2513
-41.7723,-3.5587,1.2630,1.2630
-41.8373,-3.6237,1.2496,1.2496
-41.8373,-3.6888,1.2630,1.2630
-41.9024,-3.7538,1.2630,1.2630
-41.9674,-3.8189,1.2496,1.2496
-41.9674,-3.8839,1.2630,1.2630
-42.0325,-3.9490,1.2630,1.2630
-42.0975,-4.0140,1.2496,1.2496
-42.1626,-4.0791,1.2428,1.2428
-42.1626,-4.1441,1.2496,1.2496
